Universidad, Lugar, Region
Universidad Nacional Mayor de San Marcos, Lima, Lima
Universidad Nacional de San Antonio Abad del Cusco, Cusco, Cusco
Universidad Nacional de Trujillo, Trujillo, La Libertad
Universidad Nacional de San Agustín, Arequipa, Arequipa
Universidad Nacional de Ingeniería, Lima, Lima
Universidad Nacional San Luis Gonzaga, Ica, Ica
Universidad Nacional de San Cristóbal de Huamanga, Ayacucho, Ayacucho
Universidad Nacional del Centro del Perú, Huancayo, Junin
Universidad Nacional Agraria La Molina, Lima, Lima
Universidad Nacional de La Amazonía Peruana, Iquitos, Loreto
Universidad Nacional del Altiplano, Puno, Puno
Universidad Nacional de Piura, Piura, Piura
Universidad Nacional de Cajamarca, Cajamarca, Cajamarca
Universidad Nacional Pedro Ruíz Gallo, Lambayeque, Lambayeque
Universidad Nacional Federico Villarreal, Lima, Lima
Universidad Nacional Hermilio Valdizán, Huánuco, Huánuco
Universidad Nacional Agraria de la Selva, Tingo María, Huánuco
Universidad Nacional Daniel Alcídes Carrión, Cerro de Pasco, Pasco
Universidad Nacional de Educación E.G.V., Chosica, Lima
Universidad Nacional del Callao, Callao, Callao
Universidad Nacional José Faustino Sánchez Carrión, Huacho, Lima
Universidad Nacional Jorge Basadre Grohmann, Tacna, Tacna
Universidad Nacional Santiago Antúnez de Mayolo, Huaraz, Ancash
Universidad Nacional de San Martín, Tarapoto, San Martin
Universidad Nacional de Ucayali, Pucallpa, Ucayali
Universidad Nacional de Tumbes, Tumbes, Tumbes
Universidad Nacional del Santa, Chimbote, Ancash
Universidad Nacional de Huancavelica, Huancavelica, Huancavelica
Universidad Nacional Intercultural de la Amazonía, Yarinacocha, Ucayali
Universidad Nacional Amazónica de Madre de Dios, Puerto Maldonado, Madre de Dios
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas, Chachapoyas, Amazonas
Universidad Nacional Micaela Bastidas de Apurímac, Abancay, Apurímac
Universidad Nacional Tecnológica del Cono Sur de Lima, Lima, Lima
Universidad Nacional José María Arguedas, Andahuaylas, Apurímac
Universidad Nacional de Moquegua, Moquegua, Moquegua
Universidad Nacional de Juliaca 1/, Juliaca, Puno
Universidad Nacional de Jaén 1/, Jaén, Cajamarca
Universidad Nacional de Cañete 3/, SanVicente &#8211; Cañete, Lima
Universidad Nacional Autónoma de Chota 2/, Chota, Cajamarca
Universidad Nacional de Barranca ***, Barranca, Lima
Universidad Nacional de Frontera, Sullana, Piura
Universidad Nacional Intercultural Fabiola Salazar Leguía 2/, Bagua, Amazonas
Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa 3/, La Merced &#8211; Satipo, Junín
Universidad Nacional Intercultural de Quillabamba 2/, Quillabamba, Cusco
Universidad Nacional Autónoma de Alto Amazonas ***, Yurimaguas &#8211; Alto Amazonas, Loreto
Universidad Nacional Autónoma Altoandina de Tarma ***, Tarma, Junín
Universidad Nacional Autónoma de Huanta ***, Huanta, Ayacucho
Universidad Nacional Tecnológica de San Juan de Lurigancho ***, San Juan de Lurigancho, Lima
Universidad Autónoma Municipal de Los Olivos ****, Lima, Lima
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo, Pampas &#8211; Tayacaja, Huancavelica
Universidad Nacional Ciro Alegría, Huamachuco &#8211; Sánchez Carrión, La Libertad
Pontificia Universidad Católica del Perú, Lima, Lima
Universidad Peruana Cayetano Heredia, Lima, Lima
Universidad Católica de Santa María, Arequipa, Arequipa
Universidad del Pacífico, Lima, Lima
Universidad de Lima, Lima, Lima
Universidad de San Martín de Porres, Lima, Lima
Universidad Femenina del Sagrado Corazón, Lima, Lima
Universidad Inca Garcilaso de la Vega, Lima, Lima
Universidad de Piura, Piura, Piura
Universidad Ricardo Palma, Lima, Lima
Universidad Andina Néstor Cáceres Velásquez, Juliaca, Puno
Universidad Peruana Los Andes, Huancayo, Junin
Universidad Peruana Unión, Lima, Lima
Universidad Andina del Cusco, Cusco, Cusco
Universidad de Huánuco, Huánuco, Huánuco
Universidad Tecnológica de los Andes, Abancay, Apurímac
Universidad de Tacna, Tacna, Tacna
Universidad Particular de Chiclayo, Chiclayo, Lambayeque
Universidad San Pedro, Chimbote, Ancash
Universidad Privada Antenor Orrego, Trujillo, La Libertad
Universidad Privada Marcelino Champagnat, Lima, Lima
Universidad José Carlos Mariátegui, Moquegua, Moquegua
Universidad Científica del Perú, Iquitos, Loreto
Universidad Privada César Vallejo, Trujillo, La Libertad
Universidad Privada del Norte, Trujillo, La Libertad
Universidad Peruana de Ciencias Aplicadas, Lima, Lima
Universidad Católica Los Ángeles de Chimbote, Chimbote, Ancash
Universidad Privada San Ignacio de Loyola, Lima, Lima
Universidad Alas Peruanas, Lima, Lima
Universidad Privada Norbert Wiener, Lima, Lima
Universidad Católica San Pablo, Arequipa, Arequipa
Asociación Universidad Privada San Juan Bautista, Lima, Lima
Universidad Tecnológica del Perú, Lima, Lima
Universidad Científica del Sur, Lima, Lima
Universidad Continental de Ciencias e Ingeniería, Huancayo, Junín
Universidad Católica Santo Toribio de Mogrovejo, Chiclayo, Lambayeque
Universidad Privada Antonio Guillermo Urrelo, Cajamarca, Cajamarca
Universidad Privada Señor de Sipán S.A.C., Chiclayo, Lambayeque
Universidad Católica Sedes Sapientiae, Lima, Lima
Universidad Católica de Trujillo Benedicto XVI, Trujillo, La Libertad
Universidad para el Desarrollo Andino, Lircay &#8211; Angaraes, Huancavelica
Universidad Peruana de Ciencias e Informática, Lima, Lima
Universidad Privada Sergio Bernales S.A.C., Cañete, Lima
Universidad Peruana de las Américas S.A.C., Lima, Lima
Universidad Antonio Ruíz de Montoya, Lima, Lima
Universidad ESAN, Lima, Lima
Universidad Privada Telesup S.A.C., Lima, Lima
Universidad Privada de Pucallpa S.A.C., Pucallpa, Ucayali
Universidad Privada de Ica, Ica, Ica
Universidad Ada A. Byron S.A.C., Chincha, Ica
Universidad Peruana Simón Bolivar, Lima, Lima
Universidad Privada de Trujillo**, Trujillo, La Libertad
Universidad Privada San Carlos, Puno, Puno
Universidad Peruana del Oriente S.A.C., Iquitos, Loreto
Universidad de Ciencias y Humanidades, Lima, Lima
Universidad Peruana de Integración Global, Lima, Lima
Universidad Autónoma del Perú, Lima, Lima
Universidad Jaime Bausate y Meza, Lima, Lima
Universidad Privada Juan Mejía Baca, Chiclayo, Lambayeque
Universidad Peruana del Centro, Junin, Huancayo
Universidad Privada Arzobispo Loayza, Lima, Lima
Universidad Le Cordon Bleu, Lima, Lima
Universidad Privada de Huancayo Franklin Roosevelt, Huancayo, Junín
Universidad de Lambayeque, Chiclayo, Lambayeque
Universidad de Ciencias y Artes de América Latina, Lima, Lima
Universidad Peruana de Arte Orval, Lima, Lima
Universidad Ciencias de la Salud, Arequipa, Arequipa
Universidad Privada de la Selva Peruana, Iquitos, Loreto
Universidad de Ayacucho Federico Froebel, Ayacucho, Ayacucho
Universidad Peruana de Investigación y Negocios, Lima, Lima
Universidad Peruana Austral del Cusco, Cusco, Cusco
Universidad Autónoma San Francisco, Arequipa, Arequipa
Universidad San Andrés, Lima, Lima
Universidad Interamericana para el Desarrollo, Lima, Lima
Universidad Privada Juan Pablo II, Lima, Lima
Universidad Privada Leonardo Da Vinci, Trujillo, La Libertad
Universidad de Ingeniería y Tecnología, Lima, Lima
Universidad La Salle, Arequipa, Arequipa
Universidad Latinoamericana CIMA, Tacna, Tacna
Universidad Privada Autónoma del Sur, Arequipa, Arequipa
Universidad María Auxiliadora, Lima, Lima
Universidad de la Amazonía Mario Peláez Bazán, Bagua Grande, Amazonas
